SIPP,PickupDateFrom,PickupLocationCode,Duration,CurrentSellPrice,Netrate
CWMR,3/09/2023,Porto Airport,16,26.58,23
DDMR,4/09/2023,Porto Airport,19,17.21,16.1
DDMR,4/09/2023,Porto Airport,25,17.21,16.8
DDMR,4/09/2023,Porto Airport,3,19.31,12.8
DDMR,4/09/2023,Porto Airport,5,21.46,12.3
DDMR,4/09/2023,Porto Airport,27,17.21,16.8
CWMR,3/09/2023,Porto Airport,10,26.24,18
DDMR,4/09/2023,Porto Airport,11,17.42,12
CWMR,3/09/2023,Porto Airport,25,26.58,22.3
CWMR,3/09/2023,Porto Airport,30,26.58,24.3
CWMR,3/09/2023,Porto Airport,2,53.56,22
CWMR,3/09/2023,Porto Airport,22,26.58,22.3
CWMR,3/09/2023,Porto Airport,21,26.58,22.3
CWMR,3/09/2023,Porto Airport,7,26.24,17.5
CWMR,3/09/2023,Porto Airport,28,26.58,24.3
CWMR,3/09/2023,Porto Airport,15,26.58,23
CWMR,3/09/2023,Porto Airport,9,26.24,18
CWMR,3/09/2023,Porto Airport,23,26.58,22.3
DDMR,4/09/2023,Porto Airport,4,19.31,12.3
DDMR,4/09/2023,Porto Airport,29,17.21,17.6
DDMR,4/09/2023,Porto Airport,10,17.42,12
DDMR,4/09/2023,Porto Airport,7,17.42,12.3
DDMR,4/09/2023,Porto Airport,30,17.21,17.6
DDMR,4/09/2023,Porto Airport,21,17.21,16.8
DDMR,4/09/2023,Porto Airport,17,17.21,16.1
DDMR,4/09/2023,Porto Airport,2,29.62,12.8
DDMR,4/09/2023,Porto Airport,23,17.21,16.8
DDMR,4/09/2023,Porto Airport,15,17.21,16.1
CGAR,6/09/2023,Porto Airport,17,36.98,21.5
CGAR,6/09/2023,Porto Airport,16,36.98,21.5
CGAR,6/09/2023,Porto Airport,24,36.98,26.3
CGAR,6/09/2023,Porto Airport,14,36.98,17
CGAR,6/09/2023,Porto Airport,8,42.38,17
DDMR,6/09/2023,Porto Airport,19,18.26,16.1
DDMR,6/09/2023,Porto Airport,25,18.26,16.8
DDMR,6/09/2023,Porto Airport,3,19.32,12.8
SFMR,9/09/2023,Porto Airport,30,21.25,21
SFMR,9/09/2023,Porto Airport,25,21.25,20.8
CGAR,9/09/2023,Porto Airport,19,31.57,21.5
CGAR,9/09/2023,Porto Airport,9,28.88,17
CGAR,9/09/2023,Porto Airport,3,38.34,18.8
CGAR,9/09/2023,Porto Airport,21,31.57,26.3
CGAR,9/09/2023,Porto Airport,4,38.34,16.5
CGAR,9/09/2023,Porto Airport,23,31.57,26.3
CGAR,9/09/2023,Porto Airport,25,31.57,26.3
CGAR,9/09/2023,Porto Airport,22,31.57,26.3
CGAR,9/09/2023,Porto Airport,18,31.57,21.5
CGAR,9/09/2023,Porto Airport,5,37.63,16.5
CGAR,9/09/2023,Porto Airport,1,53.59,18.8
CGAR,9/09/2023,Porto Airport,20,31.57,21.5
HDMR,3/09/2023,Porto Airport,7,14.43,7.5
HDMR,3/09/2023,Porto Airport,30,14.79,12.8
HDMR,3/09/2023,Porto Airport,23,14.79,9.3
HDMR,3/09/2023,Porto Airport,10,14.43,7
HDMR,3/09/2023,Porto Airport,1,29.05,8.5
HDMR,3/09/2023,Porto Airport,29,14.79,12.8
DDMR,6/09/2023,Porto Airport,5,19.84,12.3
DDMR,6/09/2023,Porto Airport,27,18.26,16.8
DDMR,6/09/2023,Porto Airport,11,16.93,12
DDMR,6/09/2023,Porto Airport,4,19.32,12.3
CGAR,3/09/2023,Porto Airport,11,44.89,17
CGAR,3/09/2023,Porto Airport,10,44.89,17
CGAR,3/09/2023,Porto Airport,4,47.41,16.5
SFMR,9/09/2023,Porto Airport,14,21.25,16.6
CGAR,3/09/2023,Porto Airport,23,39.08,26.3
SFMR,9/09/2023,Porto Airport,20,21.25,19
SFMR,9/09/2023,Porto Airport,8,21.38,16.6
SFMR,9/09/2023,Porto Airport,12,21.38,16.6
CGAR,3/09/2023,Porto Airport,25,39.08,26.3
CGAR,3/09/2023,Porto Airport,22,39.08,26.3
SFMR,9/09/2023,Porto Airport,26,21.25,20.8
CGAR,4/09/2023,Porto Airport,14,31.57,17
CGAR,4/09/2023,Porto Airport,8,33.2,17
CGAR,4/09/2023,Porto Airport,18,31.57,21.5
CGAR,4/09/2023,Porto Airport,5,37.63,16.5
CGAR,4/09/2023,Porto Airport,1,56.49,18.8
CGAR,4/09/2023,Porto Airport,20,31.57,21.5
CGAR,4/09/2023,Porto Airport,7,33.2,16.5
CGAR,4/09/2023,Porto Airport,26,31.57,26.3
CGAR,4/09/2023,Porto Airport,12,33.2,17
CGAR,4/09/2023,Porto Airport,29,31.57,26.8
CGAR,4/09/2023,Porto Airport,11,33.2,17
CGAR,4/09/2023,Porto Airport,10,33.2,17
MDMR,5/09/2023,Porto Airport,3,17.71,8.1
MDMR,5/09/2023,Porto Airport,23,15.5,9
MDMR,2/09/2023,Porto Airport,25,15.52,9
MDMR,2/09/2023,Porto Airport,16,15.52,8.6
MDMR,2/09/2023,Porto Airport,12,14.41,6.8
MDMR,2/09/2023,Porto Airport,10,14.41,6.8
MDMR,2/09/2023,Porto Airport,31,15.52,12.6
MDMR,2/09/2023,Porto Airport,27,15.52,9
MDMR,3/09/2023,Porto Airport,26,14.69,9
MDMR,3/09/2023,Porto Airport,2,28.95,8.1
SFMR,3/09/2023,Porto Airport,14,21.35,16.6
CGAR,5/09/2023,Porto Airport,13,33.2,17
CGAR,5/09/2023,Porto Airport,27,33.2,26.3
CGAR,5/09/2023,Porto Airport,17,33.2,21.5
CGAR,5/09/2023,Porto Airport,16,33.2,21.5
CGAR,5/09/2023,Porto Airport,24,33.2,26.3
CGAR,5/09/2023,Porto Airport,14,33.2,17
CGAR,5/09/2023,Porto Airport,8,33.2,17
MDMR,9/09/2023,Porto Airport,24,14.61,9
MDMR,9/09/2023,Porto Airport,5,18.86,7.3
MDMR,9/09/2023,Porto Airport,22,14.61,9
SFMR,3/09/2023,Porto Airport,20,21.35,19
SFMR,3/09/2023,Porto Airport,8,20.92,16.6
SFMR,3/09/2023,Porto Airport,12,20.92,16.6
SFMR,3/09/2023,Porto Airport,26,21.35,20.8
SFMR,3/09/2023,Porto Airport,5,23.71,16
SFMR,3/09/2023,Porto Airport,17,21.35,19
SFMR,4/09/2023,Porto Airport,6,26.35,16
SFMR,4/09/2023,Porto Airport,15,21.25,19
SFMR,4/09/2023,Porto Airport,13,21.5,16.6
SFMR,4/09/2023,Porto Airport,2,36.14,16.1
SFMR,3/09/2023,Porto Airport,9,20.92,16.6
SFMR,3/09/2023,Porto Airport,23,21.35,20.8
SFMR,3/09/2023,Porto Airport,18,21.35,19
MDMR,6/09/2023,Porto Airport,18,15.66,8.6
SFMR,3/09/2023,Porto Airport,6,23.71,16
SFMR,3/09/2023,Porto Airport,15,21.35,19
SFMR,3/09/2023,Porto Airport,13,20.92,16.6
SFMR,3/09/2023,Porto Airport,2,38.46,16.1
DDMR,4/09/2023,Porto Airport,20,17.21,16.1
DDMR,4/09/2023,Porto Airport,9,17.42,12
DDMR,4/09/2023,Porto Airport,12,17.42,12
DDMR,4/09/2023,Porto Airport,26,17.21,16.8
SFMR,6/09/2023,Porto Airport,15,22.51,19
SFMR,6/09/2023,Porto Airport,13,20.92,16.6
SFMR,6/09/2023,Porto Airport,2,36.88,16.1
SFMR,6/09/2023,Porto Airport,29,22.51,21
SFMR,6/09/2023,Porto Airport,4,23.78,16
SFMR,6/09/2023,Porto Airport,10,20.92,16.6
SFMR,6/09/2023,Porto Airport,16,22.51,19
SFMR,6/09/2023,Porto Airport,19,22.51,19
SFMR,6/09/2023,Porto Airport,27,22.51,20.8
SFMR,6/09/2023,Porto Airport,11,20.92,16.6
SFMR,6/09/2023,Porto Airport,7,20.92,16
SFMR,6/09/2023,Porto Airport,31,22.51,21
