selection1_name,selection1_url,selection1_address,selection1_date,selection1_Category
Here's A How-De-Do,https://www.eventfinda.co.nz/2023/heres-how-de-do/auckland/torbay,"Torbay Community Hall, Torbay, Auckland",Tomorrow 7:30pm,Musicals
Jam/Open Mic Night - Where Music Lovers and Musicians Meet,https://www.eventfinda.co.nz/2023/jam-open-mic-night-where-music-lovers-and-musicians-meet/auckland/dairy-flat,"DFlat Auckland , Dairy Flat, Auckland",Tomorrow 7:30pm,"Open Mic, Jams"
The Muse at the Ponz,https://www.eventfinda.co.nz/2023/the-muse-at-the-ponz/auckland/westhaven,"Ponsonby Cruising Club, Westhaven, Auckland",Tomorrow 6:30pm,Pop
Remuera Teen/Adult Capoeira Classes Term 2,https://www.eventfinda.co.nz/2023/remuera-teen-adult-capoeira-classes-term-2/auckland/remuera,"College Rifles Sports Club, Remuera, Auckland",Tomorrow 6:15pm,Martial Arts
Hip Hop Dance Class 6-8yrs,https://www.eventfinda.co.nz/2023/hip-hop-dance-class-6-8yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 4:00pm,Dance
Hip Hop Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/hip-hop-dance-class-9-12yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 4:00pm,Dance
Teenage Commercial / Jazz Funk Dance Class,https://www.eventfinda.co.nz/2023/teenage-commercial-jazz-funk-dance-class3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 5:30pm,Dance
Jazz Funk / Commercial Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/jazz-funk-commercial-dance-class-9-12yrs5/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 5:30pm,Dance
Jazz Funk Dance Class 7-10yrs,https://www.eventfinda.co.nz/2023/jazz-funk-dance-class-7-10yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 4:45pm,Dance
Contemporary Dance Class 9-12yrs,https://www.eventfinda.co.nz/2023/contemporary-dance-class-9-12yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Tomorrow 4:45pm,Dance
Kōpū,https://www.eventfinda.co.nz/2023/kopu/auckland/henderson,"Te Pou Theatre, Henderson, Auckland",Tomorrow 8:00pm,Theatre
Relatively Speaking,https://www.eventfinda.co.nz/2023/relatively-speaking/auckland/takapuna,"The PumpHouse Theatre, Takapuna, Auckland",Tomorrow 7:30pm,Comedy
Thursday Karaoke Club,https://www.eventfinda.co.nz/2023/thursday-karaoke-club/auckland/kelston,"Workshop Bar, Kelston, Auckland",Tomorrow 7:00pm,Variety Concerts
Open Jam Night At Portland Public House,https://www.eventfinda.co.nz/2023/open-jam-night-at-portland-public-house/auckland/kingsland,"The Portland Public House, Kingsland, Auckland",Tomorrow 9:30pm,"Open Mic, Jams"
Rosedale Glow Disc Golf,https://www.eventfinda.co.nz/2023/rosedale-glow-disc-golf/auckland/albany,"Rosedale Park North, Albany, Auckland",Tomorrow 6:30pm,"Golf, Disc Golf"
Somervell Playgroup,https://www.eventfinda.co.nz/2023/somervell-playgroup/auckland/remuera,"Somervell Presbyterian Church, Remuera, Auckland",Tomorrow 9:30am,"Children, Kids, Holidays"
"Drama Queens, Dress ups, Make believe & Musical Mayhem",https://www.eventfinda.co.nz/2023/drama-queens-dress-ups-make-believe-musical-mayhem/auckland/orakei,"Orakei Community Centre, Orakei, Auckland",Tomorrow 10:00am,Theatre
The Kingslander Open Mic,https://www.eventfinda.co.nz/2023/the-kingslander-open-mic/auckland/kingsland,"The Kingslander, Kingsland, Auckland",Tomorrow 7:00pm,"Open Mic, Jams"
Otahuhu Phoenix Market,https://www.eventfinda.co.nz/2023/otahuhu-phoenix-market/auckland/otahuhu,"Phoenix Tavern, Otahuhu, Auckland",Tomorrow 7:00am,Markets and Fairs
Comedy Night at Miss Lucy's,https://www.eventfinda.co.nz/2023/comedy-night-at-miss-lucys/auckland,"Miss Lucy's, CBD, Auckland",Tomorrow 7:30pm,Comedy
Trade Breakfast,https://www.eventfinda.co.nz/2023/trade-breakfast/auckland/massey-north,"Mitre 10 Mega Westgate, Massey North, Auckland",Tomorrow 7:00am,Business & Professional
Oil Pastel Workshop - Still Life Flowers,https://www.eventfinda.co.nz/2023/oil-pastel-workshop-still-life-flowers/auckland/orakei,"Brothers Beer, Orakei, Auckland",Tomorrow 7:00pm,Education
First Home Buyers Guide,https://www.eventfinda.co.nz/2023/first-home-buyers-guide/auckland/takapuna,"Takapuna Library, Takapuna, Auckland",Tomorrow 12:00pm,Education
Leadership & Management Part 2,https://www.eventfinda.co.nz/2023/leadership-management-part-2/auckland/parnell,"The Parnell Hotel & Conference Centre, Parnell, Auckland",Tomorrow 8:30am,Business & Professional
"Meditate, Better Yourself",https://www.eventfinda.co.nz/2023/meditate-better-yourself4/auckland/northcote,"Auckland Meditation Centre, Northcote, Auckland",Tomorrow 10:00am,Mind & Body
Into Orbit Intermediate Pottery Class,https://www.eventfinda.co.nz/2023/into-orbit-intermediate-pottery-class/auckland/new-lynn,"Wood Fired Pottery School, New Lynn, Auckland",Tomorrow 6:15pm,Education
Thursday Let's Clay!,https://www.eventfinda.co.nz/2023/thursday-lets-clay/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 4:30pm,Education
Watercolour Techniques,https://www.eventfinda.co.nz/2023/watercolours-for-beginners-course/auckland/howick,"UXBRIDGE Arts & Culture Centre, Howick, Auckland",Tomorrow 9:30am,Family & Lifestyle
Thursday Lively Sketching with Pen & Wash,https://www.eventfinda.co.nz/2023/thursday-lively-sketching-with-pen-wash/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 9:30am,Education
Thursday Sketching & Painting with Gouache,https://www.eventfinda.co.nz/2023/thursday-sketching-painting-with-gouache/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 7:00pm,Education
Thursday Let's Draw & Paint,https://www.eventfinda.co.nz/2023/thursday-lets-draw-paint/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 4:30pm,Education
Thursday Teens Mixed Media,https://www.eventfinda.co.nz/2023/thursday-teens-mixed-media/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 4:30pm,Education
Thursday Crystal Glass Morning,https://www.eventfinda.co.nz/2023/thursday-crystal-glass-morning/auckland/mairangi-bay,"Mairangi Arts Centre, Mairangi Bay, Auckland",Tomorrow 9:30am,Education
Weekly Drama Classes for Ages 5-10,https://www.eventfinda.co.nz/2023/weekly-drama-classes-for-ages-5-102/auckland/takapuna,"St Georges Presbyterian Church, Takapuna, Auckland",Tomorrow 4:00pm,Education
Drama Classes for Autistic & Neurodivergent children & teens,https://www.eventfinda.co.nz/2023/drama-classes-for-autistic-neurodivergent-children-teens/auckland/glen-innes,"Te Oro, Glen Innes, Auckland",Tomorrow 4:00pm,Education
Soul Me Up Yoga,https://www.eventfinda.co.nz/2023/soul-me-up-yoga/auckland/mt-eden,"Mt Eden Village Centre, Mt Eden, Auckland",Tomorrow 6:30pm,Mind & Body
Guided Museum Tours,https://www.eventfinda.co.nz/2023/guided-museum-tours4/auckland,"New Zealand Maritime Museum, CBD, Auckland",Tomorrow 10:30am,Public Talks & Tours
Living Room,https://www.eventfinda.co.nz/2023/living-room/auckland/ponsonby,"Covert Theatre, Ponsonby, Auckland",Fri 5 May 9:00pm,Theatre
Garnet Station Comedy Showcase,https://www.eventfinda.co.nz/2023/garnet-station-comedy-showcase4/auckland/westmere,"Tiny Theatre, Garnet Station, Westmere, Auckland",Fri 5 May 8:00pm,Comedy
Traffic Jam,https://www.eventfinda.co.nz/2023/traffic-jam/auckland/ponsonby,"Covert Theatre, Ponsonby, Auckland",Fri 5 May 7:30pm,Theatre
Open Mic Comedy,https://www.eventfinda.co.nz/2023/open-mic-comedy/auckland,"Love Shack Bar, CBD, Auckland",Fri 5 May 8:00pm,Comedy
Guy Cater Kiwi Comedy Hypnotist,https://www.eventfinda.co.nz/2023/guy-cater-kiwi-comedy-hypnotist/auckland/whangaparaoa-peninsula,"Hibiscus Coast RSA, Whangaparaoa Peninsula, Auckland",Fri 5 May 7:00pm,Comedy
Driving Madeleine,https://www.eventfinda.co.nz/2023/driving-madeleine/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Fri 5 May 10:00am,Film
Big George Foreman,https://www.eventfinda.co.nz/2023/big-george-foreman/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Fri 5 May 7:30pm,Film
Paint & Chill - Tui on Flax!,https://www.eventfinda.co.nz/2023/paint-chill-tui-on-flax2/auckland,"Auckland City Hotel, CBD, Auckland",Fri 5 May 6:00pm,"Socials, Singles, Balls"
Super H.I.T.T Training Session,https://www.eventfinda.co.nz/2023/super-h-i-t-t-training-session3/auckland/northcote,"SPARTAFIT, Northcote, Auckland",Fri 5 May 6:00am,Fitness
Marlowe,https://www.eventfinda.co.nz/2023/marlowe/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Fri 5 May 12:30pm,Film
