Location,From Day,To Day,Shop Day,Category,sipp code,Season ,Tether Off Shop Day,
Athens,3,3,4,Mini Van (Opel Vivaro),lvmr,High,109%,
Athens,4,6,4,Mini Van (Opel Vivaro),lvmr,High,100%,
Athens,7,7,7,Mini Van (Opel Vivaro),lvmr,High,100%,
Athens,8,13,7,Mini Van (Opel Vivaro),lvmr,High,107%,
Athens,14,14,14,Mini Van (Opel Vivaro),lvmr,High,100%,
Athens,15,21,14,Mini Van (Opel Vivaro),lvmr,High,115%,
Athens,22,29,14,Mini Van (Opel Vivaro),lvmr,High,115%,
Athens,30, max ,14,Mini Van (Opel Vivaro),lvmr,High,131%,
Athens,1,2,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,129%,
Athens,3,3,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,107%,
Athens,4,6,4,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,100%,
Athens,7,7,7,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,100%,
Athens,8,13,7,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,93%,
Athens,14,14,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,100%,
Athens,15,21,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,115%,
Athens,22,29,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,115%,
Athens,30, max ,14,Mini Van (Citroen Jumpy Space Tourer Automatic),lvar,High,300%,
Athens,1,2,4,Mini Van (Mercedes Vito),pvmr,High,131%,
Athens,3,3,4,Mini Van (Mercedes Vito),pvmr,High,109%,
Athens,4,6,4,Mini Van (Mercedes Vito),pvmr,High,100%,
Athens,7,7,7,Mini Van (Mercedes Vito),pvmr,High,100%,
Athens,8,13,7,Mini Van (Mercedes Vito),pvmr,High,107%,
Athens,14,14,14,Mini Van (Mercedes Vito),pvmr,High,100%,
Athens,15,21,14,Mini Van (Mercedes Vito),pvmr,High,115%,
Athens,22,29,14,Mini Van (Mercedes Vito),pvmr,High,115%,
Athens,30, max ,14,Mini Van (Mercedes Vito),pvmr,High,131%,
Athens,1,2,4,Mini (Suzuki Celerio),mdmr,Shoulder,167%,
Athens,3,3,4,Mini (Suzuki Celerio),mdmr,Shoulder,139%,
Athens,4,6,4,Mini (Suzuki Celerio),mdmr,Shoulder,100%,
Athens,7,7,7,Mini (Suzuki Celerio),mdmr,Shoulder,100%,
Athens,8,13,7,Mini (Suzuki Celerio),mdmr,Shoulder,102%,
Athens,14,14,14,Mini (Suzuki Celerio),mdmr,Shoulder,100%,
Athens,15,21,14,Mini (Suzuki Celerio),mdmr,Shoulder,115%,
Athens,22,29,14,Mini (Suzuki Celerio),mdmr,Shoulder,115%,
Athens,30, max ,14,Mini (Suzuki Celerio),mdmr,Shoulder,243%,
Athens,1,2,4,Economy (Fiat Panda),ecmr,Shoulder,167%,
Athens,3,3,4,Economy (Fiat Panda),ecmr,Shoulder,139%,
Athens,4,6,4,Economy (Fiat Panda),ecmr,Shoulder,100%,
Athens,7,7,7,Economy (Fiat Panda),ecmr,Shoulder,100%,
Athens,8,13,7,Economy (Fiat Panda),ecmr,Shoulder,102%,
Athens,14,14,14,Economy (Fiat Panda),ecmr,Shoulder,100%,
Athens,15,21,14,Economy (Fiat Panda),ecmr,Shoulder,115%,
Athens,22,29,14,Economy (Fiat Panda),ecmr,Shoulder,115%,
Athens,30, max ,14,Economy (Fiat Panda),ecmr,Shoulder,243%,
Athens,1,2,4,Economy (Suzuki Swift),edmr,Shoulder,167%,
Athens,3,3,4,Economy (Suzuki Swift),edmr,Shoulder,139%,
Athens,4,6,4,Economy (Suzuki Swift),edmr,Shoulder,100%,
Athens,7,7,7,Economy (Suzuki Swift),edmr,Shoulder,100%,
Athens,8,13,7,Economy (Suzuki Swift),edmr,Shoulder,102%,
Athens,14,14,14,Economy (Suzuki Swift),edmr,Shoulder,100%,
Athens,15,21,14,Economy (Suzuki Swift),edmr,Shoulder,115%,
Athens,22,29,14,Economy (Suzuki Swift),edmr,Shoulder,115%,
Athens,30, max ,14,Economy (Suzuki Swift),edmr,Shoulder,243%,
Athens,1,2,4,Economy (Suzuki Swift Automatic),edar,Shoulder,167%,
Athens,3,3,4,Economy (Suzuki Swift Automatic),edar,Shoulder,139%,
Athens,4,6,4,Economy (Suzuki Swift Automatic),edar,Shoulder,100%,
Athens,7,7,7,Economy (Suzuki Swift Automatic),edar,Shoulder,100%,
Athens,8,13,7,Economy (Suzuki Swift Automatic),edar,Shoulder,102%,
Athens,14,14,14,Economy (Suzuki Swift Automatic),edar,Shoulder,100%,
Athens,15,21,14,Economy (Suzuki Swift Automatic),edar,Shoulder,115%,
Athens,22,29,14,Economy (Suzuki Swift Automatic),edar,Shoulder,115%,
Athens,30, max ,14,Economy (Suzuki Swift Automatic),edar,Shoulder,243%,
Athens,1,2,4,Compact (Suzuki Baleno),ccmr,Shoulder,167%,
Athens,3,3,4,Compact (Suzuki Baleno),ccmr,Shoulder,139%,
Athens,4,6,4,Compact (Suzuki Baleno),ccmr,Shoulder,100%,
Athens,7,7,7,Compact (Suzuki Baleno),ccmr,Shoulder,100%,
Athens,8,13,7,Compact (Suzuki Baleno),ccmr,Shoulder,102%,
Athens,14,14,14,Compact (Suzuki Baleno),ccmr,Shoulder,100%,
Athens,15,21,14,Compact (Suzuki Baleno),ccmr,Shoulder,115%,
Athens,22,29,14,Compact (Suzuki Baleno),ccmr,Shoulder,115%,
Athens,30, max ,14,Compact (Suzuki Baleno),ccmr,Shoulder,243%,
Athens,1,2,4,Family (Fiat Tipo),cdmr,Shoulder,168%,
Athens,3,3,4,Family (Fiat Tipo),cdmr,Shoulder,140%,
Athens,4,6,4,Family (Fiat Tipo),cdmr,Shoulder,100%,
Athens,7,7,7,Family (Fiat Tipo),cdmr,Shoulder,100%,
Athens,8,13,7,Family (Fiat Tipo),cdmr,Shoulder,102%,
Athens,14,14,14,Family (Fiat Tipo),cdmr,Shoulder,100%,
Athens,15,21,14,Family (Fiat Tipo),cdmr,Shoulder,115%,
Athens,22,29,14,Family (Fiat Tipo),cdmr,Shoulder,115%,
Athens,30, max ,14,Family (Fiat Tipo),cdmr,Shoulder,243%,
Athens,1,2,4,Family (Fiat Tipo Automatic),cdar,Shoulder,168%,
Athens,3,3,4,Family (Fiat Tipo Automatic),cdar,Shoulder,140%,
