car_class,price_change,from_day,to_day,pick_up_month
A-Mini Manual-MDMR (Citroen C1),-10,4,4,February
B-Economy Manual-ECMR (Mazda2),-10,4,4,February
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,February
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,February
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,February
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,February
A-Mini Manual-MDMR (Citroen C1),-10,4,4,March
B-Economy Manual-ECMR (Mazda2),-10,4,4,March
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,March
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,March
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,March
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,March
A-Mini Manual-MDMR (Citroen C1),-10,4,4,April
B-Economy Manual-ECMR (Mazda2),-10,4,4,April
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,April
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,April
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,April
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,April
A-Mini Manual-MDMR (Citroen C1),-10,4,4,May
B-Economy Manual-ECMR (Mazda2),-10,4,4,May
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,May
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,May
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,May
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,May
A-Mini Manual-MDMR (Citroen C1),-10,4,4,June
B-Economy Manual-ECMR (Mazda2),-10,4,4,June
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,June
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,June
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,June
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,June
A-Mini Manual-MDMR (Citroen C1),-10,4,4,July
B-Economy Manual-ECMR (Mazda2),-10,4,4,July
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,July
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,July
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,July
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,July
A-Mini Manual-MDMR (Citroen C1),-10,4,4,August
B-Economy Manual-ECMR (Mazda2),-10,4,4,August
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,August
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,August
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,August
F-Compact Automatic-CDAR (Nissan Tiida),-10,4,4,August
A-Mini Manual-MDMR (Citroen C1),-10,4,4,September
B-Economy Manual-ECMR (Mazda2),-10,4,4,September
C-Compact Manual-CDMR (Nissan Tiida),-10,4,4,September
N-MINI+Automatic-MDAR (Chevrolet Spark),-10,4,4,September
H-Economy Automatic-EDAR (Nissan Micra),-10,4,4,September
